1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;51
2;UNIVERSIDADE DE BRASÍLIA;UNB;53
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;28
4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;13
5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;22
6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;31
7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;35
8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;31
9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;41
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;41
11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;26
12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;43
13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;43
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;43
15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;33
16;UNIVERSIDADE GAMA FILHO;UGF;33
17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;31
18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;43
19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;35
20;UNIVERSIDADE DE PASSO FUNDO;UPF;43
21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;43
22;UNIVERSIDADE PRESBITERIANA MACKENZIE;MACKENZIE;35
23;UNIVERSIDADE FEEVALE;FEEVALE;43
24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;29
26;ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS;ENCE;33
27;UNIVERSIDADE VALE DO RIO VERDE;UNINCOR;31
29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;23
30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;31
31;CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG;UTRAMIG;31
32;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL;UNCISAL;27
33;FACULDADE DE TECNOLOGIA DE SOROCABA;FATEC SO;35
34;FACULDADE DE TECNOLOGIA DE SÃO PAULO;FATEC-SP;35
35;FACULDADE DE TECNOLOGIA DE AMERICANA;FATEC-AM;35
36;FACULDADE DE TECNOLOGIA RUBENS LARA;FATEC-BS;35
37;FACULDADE DE TECNOLOGIA DE JAHU;FATEC-JAHU;35
38;UNIVERSIDADE DO ESTADO DO PARÁ;UEPA;15
40;UNIVERSIDADE DO ESTADO DA BAHIA;UNEB;29
43;FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;42
46;FACULDADE ESTADUAL DE CIÊNCIAS ECONÔMICAS DE APUCARANA;FECEA;41
47;UNIVERSIDADE ESTADUAL DE GOIÁS;UEG;52
54;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;35
55;UNIVERSIDADE DE SÃO PAULO;USP;35
56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;UNESP;35
57;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;41
58;FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO;FDSBC;35
59;FACULDADE DE DIREITO DE FRANCA;FDF;35
60;CENTRO UNIVERSITÁRIO DE FRANCA;UNI-FACEF;35
67;ESCOLA DE ENGENHARIA DE PIRACICABA;EEP/FUMEP;35
68;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS;FAFIPE;35
71;UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;UERN;24
72;FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL;FAMASUL;26
73;CENTRO DE ENSINO SUPERIOR DE ARCOVERDE;CESA;26
74;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO;FFCL;35
75;FACULDADE ESTADUAL DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARANAVAÍ;FAFIPA;41
76;UNIVERSIDADE REGIONAL DE BLUMENAU;FURB;42
77;FACULDADE DA REGIÃO DOS LAGOS;FERLAGOS;33
78;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE;FAFIA;32
79;INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA;IMES CATANDUVA;35
80;CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ;UNIDAVI;42
81;UNIVERSIDADE DA REGIÃO DE JOINVILLE;UNIVILLE;42
82;UNIVERSIDADE DO OESTE DE SANTA CATARINA;UNOESC;42
83;UNIVERSIDADE DO VALE DO ITAJAÍ;UNIVALI;42
84;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;FAFIMA;33
87;CENTRO UNIVERSITÁRIO DE BRUSQUE;UNIFEBE;42
88;FACULDADE DE FORMAÇÃO DE PROFESSORES DE PENEDO;FFPP;27
93;FACULDADE DE MEDICINA DE JUNDIAÍ;FMJ;35
94;ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE JUNDIAÍ;ESEFJ;35
95;UNIVERSIDADE ESTADUAL DO VALE DO ACARAÚ;UVA;23
99;FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE;FDCL;31
107;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI;UFSJ;31
109;FACULDADES INTEGRADAS RUI BARBOSA;FIRB;35
124;CENTRO UNIVERSITÁRIO DE ARARAQUARA;UNIARA;35
125;CENTRO UNIVERSITÁRIO DE ARARAS -;UNAR;35
126;INSTITUTO NACIONAL DE TELECOMUNICAÇÕES;INATEL;31
131;FACULDADE DE EDUCAÇÃO FÍSICA DE BARRA BONITA;FAEFI;35
135;CENTRO UNIVERSITÁRIO CLARETIANO;CEUCLAR;35
137;UNIVERSIDADE DO SAGRADO CORAÇÃO;USC;35
138;CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ;CBM;35
139;FACULDADE DE CIÊNCIAS ECONÔMICAS DO TRIÂNGULO MINEIRO;FCETM;31
140;UNIVERSIDADE SEVERINO SOMBRA;USS;33
141;FACULDADE DE DIREITO DE VARGINHA - FADIVA;FADIVA;31
142;CENTRO UNIVERSITÁRIO DO TRIÂNGULO;UNITRI;31
143;UNIVERSIDADE DE UBERABA;UNIUBE;31
144;FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA;FACHO;26
145;FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS;FCHS;33
146;CENTRO UNIVERSITÁRIO DE RIO PRETO;UNIRP;35
149;FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO;FAMERP;35
150;UNIVERSIDADE DE SOROCABA;UNISO;35
151;ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO;FGV-EAESP;35
152;FACULDADE DE CIÊNCIAS CONTÁBEIS;FACIC;29
158;CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO;CBM/CEU;33
159;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CARUARU;FAFICA;26
160;FACULDADE FRASSINETTI DO RECIFE;FAFIRE;26
161;CENTRO UNIVERSITÁRIO ASSUNÇÃO;UNIFAI;35
162;CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO;FEBASP;35
163;UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;33
165;UNIVERSIDADE VEIGA DE ALMEIDA;UVA;33
